subject,target
"<http://dbpedia.org/resource/Anand,_Gujarat>",218486.0
<http://dbpedia.org/resource/Anar_Dara_District>,30000.0
"<http://dbpedia.org/resource/Anchorage,_Kentucky>",2348.0
"<http://dbpedia.org/resource/Anchovy,_Jamaica>",3633.0
"<http://dbpedia.org/resource/Andacollo,_Neuquén>",1018.0
<http://dbpedia.org/resource/Andernach>,29602.0
"<http://dbpedia.org/resource/Anderson,_California>",9932.0
"<http://dbpedia.org/resource/Anderson,_Indiana>",56129.0
<http://dbpedia.org/resource/Andoany>,39500.0
<http://dbpedia.org/resource/Andorra_la_Vella>,22256.0
"<http://dbpedia.org/resource/Andover,_Florida>",8489.0
"<http://dbpedia.org/resource/Andover,_Massachusetts>",36500.0
"<http://dbpedia.org/resource/Andrews,_North_Carolina>",1781.0
"<http://dbpedia.org/resource/Andrews_Farm,_South_Australia>",8043.0
<http://dbpedia.org/resource/Ang'angxi_District>,90000.0
<http://dbpedia.org/resource/Angeghakot>,1582.0
"<http://dbpedia.org/resource/Angels_Camp,_California>",3836.0
<http://dbpedia.org/resource/Angra_dos_Reis>,200407.0
<http://dbpedia.org/resource/Angri>,34126.0
"<http://dbpedia.org/resource/Angwin,_California>",3836.0
<http://dbpedia.org/resource/Ankola>,22249.0
<http://dbpedia.org/resource/Anloga>,35933.0
"<http://dbpedia.org/resource/Ann_Arbor,_Michigan>",113934.0
"<http://dbpedia.org/resource/Anna,_Ohio>",1567.0
"<http://dbpedia.org/resource/Anna_Maria,_Florida>",1503.0
"<http://dbpedia.org/resource/Annaka,_Gunma>",58675.0
"<http://dbpedia.org/resource/Annan,_Dumfries_and_Galloway>",8389.0
<http://dbpedia.org/resource/Annfield_Plain>,7774.0
"<http://dbpedia.org/resource/Annville_Township,_Lebanon_County,_Pennsylvania>",4767.0
"<http://dbpedia.org/resource/Anoka,_Minnesota>",17142.0
<http://dbpedia.org/resource/Anolaima>,12204.0
<http://dbpedia.org/resource/Anorí>,14502.0
<http://dbpedia.org/resource/Anqing>,5311379.0
<http://dbpedia.org/resource/Anse-à-Pitres>,30146.0
<http://dbpedia.org/resource/Anse_Royale>,4665.0
<http://dbpedia.org/resource/Ansongo>,32709.0
"<http://dbpedia.org/resource/Ansonia,_Ohio>",1174.0
<http://dbpedia.org/resource/Anthiyur>,23697.0
"<http://dbpedia.org/resource/Antigonish,_Nova_Scotia>",4364.0
<http://dbpedia.org/resource/Antiguo_Cuscatlán>,48027.0
<http://dbpedia.org/resource/Antsirabe>,257163.0
<http://dbpedia.org/resource/Antsirabe_Afovoany>,13000.0
<http://dbpedia.org/resource/Antunovac>,3703.0
"<http://dbpedia.org/resource/Antwerp,_Ohio>",1736.0
"<http://dbpedia.org/resource/Anyang,_Gyeonggi>",595644.0
<http://dbpedia.org/resource/Anzing>,3577.0
<http://dbpedia.org/resource/Aoulouz>,5756.0
<http://dbpedia.org/resource/Apac>,14503.0
<http://dbpedia.org/resource/Apagy>,2269.0
"<http://dbpedia.org/resource/Apalachicola,_Florida>",2231.0
<http://dbpedia.org/resource/Aparecida>,49217.0
<http://dbpedia.org/resource/Apaseo_el_Alto>,64443.0
<http://dbpedia.org/resource/Apia>,37391.0
<http://dbpedia.org/resource/Apizaco>,81565.0
<http://dbpedia.org/resource/Apollo_Bay>,1598.0
<http://dbpedia.org/resource/Apopa>,217733.0
"<http://dbpedia.org/resource/Apopka,_Florida>",41542.0
"<http://dbpedia.org/resource/Apple_Valley,_California>",69135.0
"<http://dbpedia.org/resource/Applecross,_Western_Australia>",6336.0
"<http://dbpedia.org/resource/Appleton,_Maine>",1316.0
"<http://dbpedia.org/resource/Aptos,_California>",6220.0
<http://dbpedia.org/resource/Apulo>,7812.0
<http://dbpedia.org/resource/Aqqala>,35116.0
"<http://dbpedia.org/resource/Arab,_Alabama>",8050.0
<http://dbpedia.org/resource/Aragua_de_Barcelona>,27000.0
"<http://dbpedia.org/resource/Aramus,_Armenia>",3237.0
"<http://dbpedia.org/resource/Aran,_Yevlakh>",7263.0
<http://dbpedia.org/resource/Aranos>,3683.0
<http://dbpedia.org/resource/Aranthangi>,40814.0
<http://dbpedia.org/resource/Arapiraca>,232671.0
<http://dbpedia.org/resource/Araqah>,2124.0
"<http://dbpedia.org/resource/Arar,_Saudi_Arabia>",166512.0
<http://dbpedia.org/resource/Araras>,118843.0
"<http://dbpedia.org/resource/Arauca,_Arauca>",85585.0
